['id', 'fullName', 'teamName', 'assists', 'goals', 'pim', 'shots', 'games', 'powerPlayGoals', 'powerPlayPoints', 'penaltyMinutes', 'shotPct', 'gameWinningGoals', 'overTimeGoals', 'shortHandedGoals', 'shortHandedPoints', 'plusMinus', 'points']
[8449455, 'Juha Widing', 'Los Angeles Kings', 40, 25, 24, 202, 78, 5, 11, '24', 12.38, 4, 0, 0, 0, -11, 65]
[8450508, 'Jean Potvin', 'Los Angeles Kings', 3, 1, 2, 5, 4, 0, 1, '2', 20.0, 0, 0, 0, 0, 5, 4]
[8445021, 'Bob Barlow', 'Minnesota North Stars', 0, 0, 0, 7, 7, 0, 0, '0', 0.0, 0, 0, 0, 0, 0, 0]
[8445038, 'Norm Beaudin', 'Minnesota North Stars', 1, 0, 0, 16, 12, 0, 0, '0', 0.0, 0, 0, 0, 0, -3, 1]
[8445274, 'Fred Barrett', 'Minnesota North Stars', 13, 0, 75, 75, 57, 0, 0, '75', 0.0, 0, 0, 0, 1, 3, 13]
[8445289, 'Charlie Burns', 'Minnesota North Stars', 19, 9, 13, 110, 76, 0, 0, '13', 8.18, 1, 0, 0, 2, 1, 28]
[8445304, 'Terry Caffery', 'Minnesota North Stars', 0, 0, 0, 1, 8, 0, 0, '0', 0.0, 0, 0, 0, 0, -2, 0]
[8446482, 'Jude Drouin', 'Minnesota North Stars', 52, 16, 49, 208, 75, 4, 23, '49', 7.69, 2, 0, 0, 0, 4, 68]
[8446576, 'Gary Geldart', 'Minnesota North Stars', 0, 0, 5, 3, 4, 0, 0, '5', 0.0, 0, 0, 0, 0, -3, 0]
[8446605, 'Bill Goldsworthy', 'Minnesota North Stars', 31, 34, 85, 295, 77, 5, 16, '85', 11.53, 7, 0, 1, 1, -13, 65]
[8446717, 'Ted Harris', 'Minnesota North Stars', 13, 2, 130, 90, 78, 1, 2, '130', 2.22, 0, 0, 0, 0, 0, 15]
